1	Bulbasaur
232	Yamask
233	Cofagrigus
234	Tirtouga
235	Carracosta
236	Archen
237	Archeops
238	Trubbish
239	Garbodor
23a	Zorua
23b	Zoroark
23c	Minccino
23d	Cinccino
23e	Gothita
23f	Gothorita
240	Gothitelle
241	Solosis
242	Duosion
243	Reuniclus
244	Ducklett
245	Swanna
